name,challenge,code,zone,latitude,longitude,points
Ice Hiriketiya,"Want to cool off and test your limits? Here’s the chance for 1 of your team members to get a free ice bath at Ice Hiriketiya (more can pay to join)! Get into the ice bath, going all the way down to your neck to hide from Makara. Stay in for 1 full minute while keeping calm and collected (or at least try). Record the first 20 seconds of the teammate entering and submerging to upload for some ice cold gems! This is a new location and is inside Surf Homestay. Open 12:30 - 17:30 daily.",1184,Kaliya - Zone 3,5.96150070,80.70999402,5
Madunagala Hot Springs,"At Madunagala Hot Springs, where warm waters bubble from the earth, recall Kaliya, the serpent defeated by Lord Krishna in the Yamuna River. As the springs soothe, imagine the waters as the very spots where Kaliya once resided, before being tamed. Perhaps even the Naga kings from the Mahāvaṃsa sought solace here. Capture a serene moment, where Kaliya's tempestuous past meets the tranquility of these sacred springs",3001,Kaliya - Zone 3,6.25363000,80.98171000,5
Madunagala Temple,"Take a photo of the temple. Be careful of the monkeys, they will ravage your tuktuk of all its supplies.",3002,Kaliya - Zone 3,6.24620100,81.00383000,3
Mahinda Rajapaksa International Cricket Stadium,"In the vast expanse of Mahinda Rajapaksa International Cricket Stadium, imagine the grounds as the battleground where Lord Krishna danced upon Kaliya, taming the serpent's venomous fury. As cricket battles unfold here, so did ancient tussles in our myths. Stand in the stadium's heart, channeling the energy of legendary confrontations. Take a photo capturing this essence, but remember to seek permission first.",3003,Kaliya - Zone 3,6.35360100,81.02687000,8
Mirijjawila Botanical Garden,"Stroll through the lush expanse of Mirijjawila Botanical Garden, where nature's wonders bloom. Envision the garden as Kaliya's refuge after his duel with Lord Krishna. Amidst the flora, find the iconic dome, a symbol of nature's crown. Channel Kaliya's essence and the serenity of the Ramayana's tales. Stand within the dome's embrace and capture a moment where mythology and nature intertwine.",3004,Kaliya - Zone 3,6.14781500,81.07266000,2
Birds,Chill out at the Bird Research Centre and Resort and take a selfie with your favorite bird.,3005,Kaliya - Zone 3,6.13799500,81.10914000,2
Hot Springs,Go swimming in the hot springs.,3006,Kaliya - Zone 3,6.14635800,81.11189000,2
Mattala Rajapaksa International Airport,What is this airport internationally known for? Take a picture at the airport.,3007,Kaliya - Zone 3,6.29192000,81.12091000,8
Game Warden,Find the tombstone of the first Game Warden of Yala National Park. Take a picture at the tombstone with the name clearly visible.,3008,Kaliya - Zone 3,6.12727100,81.12613000,4
Martello Tower,Take a picture of the long staircase you have to climb ;),3009,Kaliya - Zone 3,6.12200700,81.12683000,2
Habanthota Lighthouse,"Perched on the rugged coastline of Hambantota, the Hambantota Lighthouse stands tall, guiding ships safely through the tumultuous waters of the Indian Ocean. Built in 1875, this iconic structure has weathered storms, witnessed countless sunsets, and served as a beacon of hope for sailors navigating these treacherous seas.

Take a picture in which you look taller than the lighthouse",3010,Kaliya - Zone 3,6.12202000,81.12721000,2
Thanamalvila,"Take a photo of the goods this place is famous for (without buying them). Look around the town, not just this location dot.",3011,Kaliya - Zone 3,6.43847100,81.12991000,5
Yahangala Archaeological Ruins,"Some steps are wasting away due to the elements. From the summit of the Yahangala, one is able to have an aerial view of the whole landscape. On its western flank is vast blue ocean, while on its southwestern side lies Malala lagoon. Badagiriya, the other ruined dagoba lies on twin rock outcrops having two separate dagobas, which are also visible. On the far eastern side looms the profiles of the sacred mountains of Kataragama.",3012,Kaliya - Zone 3,6.21883400,81.16552000,4
Lunugamvehera National Park,Entrance fee: USD 18,3013,Kaliya - Zone 3,6.44358900,81.17523000,10
Lunugamwehera Gate,Take a photo of the sluice gates on the dam!,3014,Kaliya - Zone 3,6.35310500,81.20241000,4
Lunugamwehera,Walk out to the walkway that connects this building to the reservoir wall. Take a photo there with the building and the scenery in the background.,3015,Kaliya - Zone 3,6.36681400,81.22916000,6
Tissamaharama Stupa,Compare the Sandagiri Stupa with the Tissamahara Stupa.,3017,Kaliya - Zone 3,6.27971300,81.29144000,5
Sandagiri Stupa,Sandagirigodella is an recently conserved site belonging to the the Sandagiri Monastic Complex. This area consist of 2 ancient buildings. The conservation of the image house building has been completed. A beatifully carved Buddha statue about 6 feet in height carved out of rock what looks like marble can be seen at the center building. The statue is remarkably well preserved other than for a broken hand.,3018,Kaliya - Zone 3,6.28075600,81.29507000,2
Elephant Spotting,It's common to spot an elephant when driving on this road. Take a photo of it! Note: beware these are still wild animals and can devour a tuktuk easily. ,3019,Kaliya - Zone 3,6.52307100,81.30913000,12
Cinema village,"Explore the cinema village and find the bus! (Note: If there is no bus we will still give gems, but if there is a bus you must find it!)",3020,Kaliya - Zone 3,6.32949300,81.31896000,11
Ruhunu Maha Kataragama Dewalaya,Explore the temple complex and the Elephant park. Don't ride the Elephants.,3021,Kaliya - Zone 3,6.41850700,81.33328000,6
Kirinda Temple,Fantastic view from this temple.,3022,Kaliya - Zone 3,6.21324500,81.33534000,3
Wedasiti Kanda Viharaya,Get a panoramic photo of the view at the top of the temple.,3023,Kaliya - Zone 3,6.38685300,81.33601000,6
Yala National Park,Go on a safari and share a foto with one of the animals!,3024,Kaliya - Zone 3,6.39701900,81.52388000,10
Kumana National Park,"Abutting the larger Yala National Park, Kumana national Park was in fact called Yala-East National Park until its name changed in 2006. As well as significant flora and fauna in the park, it has a long and ancient history which can be seen by some of the inscriptions on rocks in the park.",3025,Kaliya - Zone 3,6.57296000,81.66925000,10
"Kudumbigala Monastery, Arugambay",Kudumbigala is a the magnificent monastery of the Digamadulla.,3026,Kaliya - Zone 3,6.64796700,81.72400000,3
Okanda Murugan Temple,Okanda Devalaya is believed to be the place where God Skanda first sailed into Sri Lanka on a golden boat.,3027,Kaliya - Zone 3,6.63125100,81.76669000,4
Okanda Beach,"Located 28kms from Argram Bay is Okanda Beach which is popular with surfers and has three start points, one for each level of competency. Although the beach is known for its sand and surf, the local area is also known for its wild elephants and leopards.",3028,Kaliya - Zone 3,6.62794000,81.77082000,3
Magul Maha Viharaya,"Magul Maha Viharaya is the place where history was made when the daughter of King Kelanitissa, the ruler of the Kelaniya kingdom married the King of Rohana, King Kavantissa, which unified the southern parts of Sri Lanka in the Second Century BC.<br>Built to celebrate this union which was to change the face of Sri Lankan history forever, Magul Maha Viharaya hosts many characteristics not found in many a temple.",3029,Kaliya - Zone 3,6.86732100,81.73664100,2
Thanthamalai Sri Murugan Temple,"Thanthamalai Sri Murugan Temple is one of the most famous rock temple in Sri Lanka. Thanthamalai Sri Murugan Temple is believed to be the location God Murugan or Skanda, who is Jung sun of God Siva & Parvathi, first sailed into Sri Lanka from India in a golden boat right after finishing the war with Asuran (a demon) who was harming the Davas (a deity)",3030,Kaliya - Zone 3,6.64989000,81.77257000,3
Get the Shot!,Take a picture.,3031,Kaliya - Zone 3,6.80423000,81.81635000,2
