START_ID,END_ID,TYPE
1,2,FRIEND
1,3,FRIEND
2,4,FRIEND
3,5,FRIEND
4,6,FRIEND
5,7,FRIEND
6,8,FRIEND
7,9,FRIEND
8,10,FRIEND
9,11,FRIEND
10,12,FRIEND
11,13,FRIEND
12,14,FRIEND
13,15,FRIEND
14,16,FRIEND
15,17,FRIEND
16,18,FRIEND
17,19,FRIEND
18,20,FRIEND
19,21,FRIEND
20,22,FRIEND
21,23,FRIEND
22,24,FRIEND
23,25,FRIEND
24,26,FRIEND
25,27,FRIEND
26,28,FRIEND
27,29,FRIEND
28,30,FRIEND
30,1,FRIEND
2,5,FRIEND
3,6,FRIEND
4,7,FRIEND
5,8,FRIEND
6,9,FRIEND
7,10,FRIEND
8,11,FRIEND
9,12,FRIEND
10,13,FRIEND
11,14,FRIEND
12,15,FRIEND
13,16,FRIEND
14,17,FRIEND
15,18,FRIEND
16,19,FRIEND
17,20,FRIEND
18,21,FRIEND
19,22,FRIEND
20,23,FRIEND
21,24,FRIEND
22,25,FRIEND
23,26,FRIEND
24,27,FRIEND
25,28,FRIEND
26,29,FRIEND
27,30,FRIEND
