id,user_posted,name,description,date_posted,photos,url,tagged_users,replies,reposts,likes,views,external_url,hashtags,followers,biography,posts_count,profile_image_link,following,is_verified,quotes,bookmarks,parent_post_details,external_image_urls,videos,quoted_post
1618837765269098496,tay███swi███3,Tay███ Sw███,The Lavender Haze video is out now. There is lots of lavender. There is lots of haze. There is my incredible costar @laith_ashley who I absolutely adored working with.,2023-01-27 05:06:14+00:00,"[""https://pbs.twimg.com/media/FndEXf-WAAI0ptI.jpg"",""https://pbs.twimg.com/media/FndEXgBXwAAPK06.jpg"",""https://pbs.twimg.com/media/FndEXf6WYAcQv5W.jpg"",""https://pbs.twimg.com/media/FndEXf8WAAADaD2.jpg""]",https://x.com/taylorswift13/status/1618837765269098496,"[{""biography"":null,""followers"":null,""following"":null,""is_verified"":null,""profile_id"":""4247404887"",""profile_name"":""Laith Ashley De La Cruz"",""url"":""https://x.com/laith_ashley""}]",7780,87730,418491,21603909,http://taylor.lnk.to/lavenderhazemusicvideo,,94676198,All’s fair in love and poetry... New album THE TORTURED POETS DEPARTMENT. Out now 🤍,860,https://pbs.twimg.com/profile_images/1766836345450672128/HpuBz514_normal.jpg,0,false,9920,1991,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
1664663509488074754,tay███swi███3,Tay███ Sw███,"Really thrilled to tell you this!! Mexico, Argentina and Brazil: We are bringing The Eras Tour to you this year! Sweet angel princess @SabrinaAnnLynn will be joining us on all of the shows! Visit https://t.co/nAtMhYpVaY for more information on your registrations, pre-sales and on-sales.  

LOTS more international dates to come soon, promise!",2023-06-02 16:01:23+00:00,"[""https://pbs.twimg.com/media/FxoSodsWIAo6uj_.jpg""]",https://x.com/taylorswift13/status/1664663509488074754,"[{""biography"":null,""followers"":null,""following"":null,""is_verified"":null,""profile_id"":""63822383"",""profile_name"":""Sabrina Carpenter"",""url"":""https://x.com/SabrinaAnnLynn""}]",28180,109327,592538,95074893,http://taylorswift.com/tour,,94676201,All’s fair in love and poetry... New album THE TORTURED POETS DEPARTMENT. Out now 🤍,860,https://pbs.twimg.com/profile_images/1766836345450672128/HpuBz514_normal.jpg,0,false,120743,6748,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
1717874790743048259,tay███swi███3,Tay███ Sw███,"Watching @kendricklamar create and record his verses on the Bad Blood remix was one of the most inspiring experiences of my life. I still look back on this collaboration with so much pride and gratitude, for the ways Kendrick elevated the song and the way he treats everyone around him. Every time the crowds on The Eras Tour would chant his line ‘you forgive, you forget, but you never let it… go!’, I smiled. The reality that Kendrick would go back in and re-record Bad Blood so that I could reclaim and own this work I’m so proud of is surreal and bewildering to me. I’m overjoyed to say that the Bad Blood Remix (featuring Kendrick Lamar) is available everywhere on the 1989 Deluxe Edition. 🫶🩵

https://t.co/12bONe97U2",2023-10-27 12:04:01+00:00,"[""https://pbs.twimg.com/media/F9cd9ZpWcAAmOMq.jpg"",""https://pbs.twimg.com/media/F9cd9ZoXcAAEP-t.jpg""]",https://x.com/taylorswift13/status/1717874790743048259,"[{""biography"":null,""followers"":null,""following"":null,""is_verified"":null,""profile_id"":""23561980"",""profile_name"":""Kendrick Lamar"",""url"":""https://x.com/kendricklamar""}]",8789,77561,489324,19911620,,,94676198,All’s fair in love and poetry... New album THE TORTURED POETS DEPARTMENT. Out now 🤍,860,https://pbs.twimg.com/profile_images/1766836345450672128/HpuBz514_normal.jpg,0,false,21288,4596,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,"[{""duration"":10411,""video_url"":""https://video.twimg.com/amplify_video/1717874723583922176/vid/avc1/720x720/oKb7JQpHUibZsEoG.mp4?tag=14""}]","{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
1738757643664248993,Nms███eRe███rch███,熊老大███ 兔友███B🐻███,#兔友迷惑行为,2023-12-24 03:05:01+00:00,"[""https://pbs.twimg.com/media/GCFO2yMawAA-5Ha.jpg""]",https://x.com/NmsleseResearch/status/1738757643664248993,,120,23,552,157958,,"[""兔友迷惑行为""]",11185,推特兔友的迷惑行為收集處（晚安推除外）丨歡迎投稿,22677,https://pbs.twimg.com/profile_images/1866832536816795648/rAEgM1H5_normal.jpg,2557,false,4,18,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
1739121469609947376,Nms███eRe███rch███,熊老大███ 兔友███B🐻███,#兔友迷惑行为,2023-12-25 03:10:44+00:00,"[""https://pbs.twimg.com/media/GCKZwCPa8AAMXsj.jpg""]",https://x.com/NmsleseResearch/status/1739121469609947376,,139,22,686,130102,,"[""兔友迷惑行为""]",11185,推特兔友的迷惑行為收集處（晚安推除外）丨歡迎投稿,22677,https://pbs.twimg.com/profile_images/1866832536816795648/rAEgM1H5_normal.jpg,2557,false,6,21,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
1740691978470482141,Nms███eBo███,兔友迷███Bot███,#兔友迷惑行为,2023-12-29 11:11:22+00:00,"[""https://pbs.twimg.com/media/GCguITBagAAi7Nl.jpg""]",https://x.com/NmsleseBot/status/1740691978470482141,,137,77,1645,355493,,"[""兔友迷惑行为""]",151269,💙,3349,https://pbs.twimg.com/profile_images/1807444023583588352/OVE2HnVV_normal.jpg,187,false,14,47,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
1746686655149531214,Tru███edi███3,真相傳媒,"还真是三姓家奴。
#谷爱凌",2024-01-15 00:12:05+00:00,"[""https://pbs.twimg.com/media/GD16KFVbMAAGgEe.jpg""]",https://x.com/TruthMedia123/status/1746686655149531214,,411,141,1454,735316,,"[""谷爱凌""]",234568,傳播真相，匡扶正義良知，回歸中華傳統。 世間總有公道。歡迎投稿爆料！如果推文有錯誤歡迎指正。通過本號私信發送即可。,102643,https://pbs.twimg.com/profile_images/1618727520500850692/SdW0o-cV_normal.jpg,5173,false,24,57,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
1750931862334415023,Tru███edi███3,真相傳媒,"#黃明志 又发最新辱共MV了！😄
维尼友情出演！",2024-01-26 17:21:01+00:00,,https://x.com/TruthMedia123/status/1750931862334415023,,116,720,2581,330931,https://youtu.be/OUjDh7d64uo?si=rfJOxHTlLkzx3XWw,"[""黃明志""]",234550,傳播真相，匡扶正義良知，回歸中華傳統。 世間總有公道。歡迎投稿爆料！如果推文有錯誤歡迎指正。通過本號私信發送即可。,102643,https://pbs.twimg.com/profile_images/1618727520500850692/SdW0o-cV_normal.jpg,5173,false,55,335,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,"[{""duration"":236356,""video_url"":""https://video.twimg.com/ext_tw_video/1750930486409723904/pu/vid/avc1/1920x1080/b8yfcBe5C2S8cfpd.mp4?tag=14""}]","{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
1767035199433674777,Nms███eRe███rch███,熊老大███ 兔友███B🐻███,#兔友迷惑行为,2024-03-11 03:49:56+00:00,"[""https://pbs.twimg.com/media/GIXFJHfaMAAYIWk.jpg""]",https://x.com/NmsleseResearch/status/1767035199433674777,,40,24,621,39318,,"[""兔友迷惑行为""]",11185,推特兔友的迷惑行為收集處（晚安推除外）丨歡迎投稿,22677,https://pbs.twimg.com/profile_images/1866832536816795648/rAEgM1H5_normal.jpg,2557,false,1,17,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
1779560388859760867,Fab███ioR███no,Fab███io ███ano███,"🔴⚫️🏆 Bayer Leverkusen win the Bundesliga title for the FIRST time in their history!

74 goals scored, 19 goals conceded, ZERO defeats.

Insane job by Xabi Alonso and this group of fantastic players.

Congratulations, @bayer04fussball! ✨",2024-04-14 17:20:33+00:00,"[""https://pbs.twimg.com/media/GLJEvNmW0AAGDv8.jpg""]",https://x.com/FabrizioRomano/status/1779560388859760867,"[{""biography"":null,""followers"":null,""following"":null,""is_verified"":null,""profile_id"":""180720589"",""profile_name"":""Bayer 04 Leverkusen"",""url"":""https://x.com/bayer04fussball""}]",2645,48199,375518,8521649,,,22924916,Here we go! © fabrizio.romano93@gmail.com 📩,52582,https://pbs.twimg.com/profile_images/1741753635158024192/j0m8Ucvv_normal.jpg,2602,false,4977,2337,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,"{""data_posted"":null,""description"":null,""photos"":null,""post_id"":null,""profile_id"":null,""profile_name"":null,""url"":null,""videos"":null}"
